,Document,Category
24,"Household haze: how to reduce smoke in your home without an air purifier On 1 January, Canberra experienced its worst air quality on record. Smoke from Australia’s devastating bushfires has now blown as far as Queenstown, N …",Life-and-Style
25,Sadiq Khan pledges free London travel for disabled people's carers Sadiq Khan has kickstarted his bid for a second term as London mayor by pledging free travel on the city’s transport for anyone accompanying a disable …,Politics
26,"‘Everyone thought I was mad’: how to make a life-changing decision – and stick to it When I was 26, I broke up with a long-term partner, got an ill-advised facial piercing and changed careers – all in the space of a month. What I learn …",Life-and-Style
27,"In the Line of Duty review – race-against-time cop thriller There’s a straight-to-video feel to this cop thriller, directed by action veteran Steven C Miller, written by Jeremy Drysdale (who scripted the indie …",Film
28,"Manchester poet Tony Walsh performs tribute to children's hospital The performance poet Tony Walsh, whose ode to Manchester became a worldwide hit after the Arena bomb, has written a moving tribute to Royal Manchester …",UK-News
29,"Can your phone keep you fit? Our writers try 10 big fitness apps – from weightlifting to pilates Centr Price £15.49 a month. What is it? A full-service experience from the Hollywood star Chris Hemsworth: not just workouts, but a complete meal plan …",Life-and-Style
30,"We Are from Jazz review – zany Russian musical comedy Only in a Woody Allen film will you hear quite as much Dixieland jazz as this. Here is We Are from Jazz, or We Are Jazzmen, the zany jazz comedy music …",Film
31,"The Other Half of Augusta Hope by Joanna Glen review – high emotions Who is Augusta Hope’s “other half”? In Glen’s debut, shortlisted for the Costa first novel prize, at first it’s Augusta’s twin sister, although the di …",Books
32,"Tara Erraught/James Baillieu review – quietly intense and simply exquisite Irish mezzo Tara Erraught’s latest Wigmore recital with her pianist James Baillieu took place between Christmas and New Year, though her beautifully c …",Music
33,"Talking Horses: picking the five best races of the last decade You might take the view that the end of the decade is actually a year away, but at least it’s 10 years since I last did something like this. I’ve limi …",Sport
34,"The Reality Bubble by Ziya Tong review – blind spots and hidden truths Publishing functions very much like the fashion world. Like a suddenly ubiquitous cut of hem or style of trainer, a book comes along every few seasons …",Books
35,Alleged drink-driver arrested on motorway had no front tyres An alleged drink-driver who was arrested on the motorway on New Year’s Day had been driving without front tyres. The motorist was said to be nearly si …,UK-News
36,"MC Beaton, multimillion-selling author of Agatha Raisin novels, dies aged 83 MC Beaton, the prolific creator of the much loved fictional detectives Agatha Raisin and Hamish Macbeth, has died after a short illness at the age of …",Books
37,First transgender Marvel superhero coming 'very soon' The first transgender character in a Marvel movie will probably appear in a film released next year. Speaking at an event at the New York Film Academy …,Film
38,"The six-pack can wait: how to set fitness goals you will actually keep Most of us have, at some point in our lives, looked in the mirror and decided we need a radical image overhaul – especially in January. Then, when we …",Life-and-Style
39,Gold from Highlands mine to be made into Scottish jewellery A small goldmine in the Highlands plans to start producing gold in commercial quantities for the first time after repeated delays. The mine at Cononis …,UK-News
40,"Tell us about your mixed-sex civil partnership plans The first mixed-sex couples have started to become civil partners in the UK, following a landmark legal battle won by Rebecca Steinfeld and Charles Ke …",UK-News
41,"England ready for tortoise and hare race in second Test at Newlands As Harold Macmillan is supposed to have explained, there are times when the best‑laid plans disappear like melting snow in springtime and a whole new …",Sport
42,"All Federico Fellini's films – ranked! 20. The Voice of the Moon (1990) A gentle, episodic Fellini, with Roberto Benigni playing Ivo, a madcap character who travels far and wide across the …",Film
43,"Isle of Wight’s rattling, rolling, charming ex-tube trains face end of the line The train trip from Ryde Pier Head to Shanklin on the Isle of Wight in carriages built 80 years ago for the small tunnels of certain London Undergroun …",UK-News
44,"Meaty by Samantha Irby review – scatological essays To call Samantha Irby’s book scatological would be an understatement. This is a book about assholes – yes, the kind who cheats on you, or never calls, …",Books
45,Call for more diverse Lake District sparks row over area's future The head of the Lake District national park authority (LDNPA) has been accused of using the issue of diversity to push through commercial development …,UK-News
46,"Sharon Choi: how we fell for Bong Joon-ho's translator Just when you thought Bong Joon-ho – the affable maestro of Korean cinema and now, with his class-conscious Cannes winner Parasite, champion of the pe …",Film
47,"Whitehall reforms may lead to discrimination, says union Boris Johnson’s “seismic” Whitehall reforms, including regular exams for senior civil servants, could lead to discrimination against staff on the grou …",Politics
48,"The most exciting movies of 2020 – biopics Respect Having wiped away her Catstoddler snot, Jennifer Hudson gives her pipes a wider airing in this Aretha Franklin biopic which – unlike other mov …",Film
49,"Tune-free pop and the new Katie Hopkins: our 2020 celebrity predictions There are two ways to spend New Year’s Eve, as best as I can tell: you either dirty the floor of a house party and spend the smallest of the small hou …",Life-and-Style
50,Chef wrongly branded sex offender faces removal from UK A chef from Bangladesh who was wrongly branded a sex offender by the Home Office is facing removal from the UK despite a court finding that officials …,UK-News
51,"Man arrested after mother stabbed in front of child in Streatham A man has been arrested after handing himself in to police following the stabbing of a mother in front of her child in Streatham, south London. The 43 …",UK-News
52,"Starmer says he wants Labour 'rebuilt ... as trusted force for good' as poll puts him leadership favourite – as it happened Sir Keir Starmer, the shadow Brexit secretary, has called for Labour to be rebuilt “as a trusted force for good” following its election defeat. He was …",Politics
53,Faf du Plessis says form not colour determines South Africa selection Faf du Plessis said form takes precedence over transformation after it emerged South Africa would again fail to meet their target of selecting six non …,Sport
54,England’s Rory Burns out of ‘cursed’ tour after rolling ankle playing football Ben Stokes revealed this week that England’s players are calling their assignment in South Africa “the cursed tour” and yet more evidence that is the …,Sport
55,Commuters gather at Bolton station in protest over increased rail fares Frustrated commuters gathered outside Bolton train station on Thursday evening as part of a national day of action to protest against increased rail f …,UK-News
56,"Keir Starmer calls to rebuild party as 'force for good' Sir Keir Starmer, the favourite to succeed Jeremy Corbyn as Labour leader, has called for the party to become a “trusted force for good” as up to nine …",Politics
57,"TS Eliot’s hidden love letters reveal intense, heartbreaking affair TS Eliot’s love letters to scholar Emily Hale, the great poet’s muse and source of “supernatural ecstasy” for more than 30 years, were released on Thu …",Books
58,Detroit firefighters face backlash over photo in front of a burning home A controversial Facebook photo of 18 Detroit firefighters posing in front of a burning home was “inappropriate and unprofessional” and will result in …,US-News
59,"Dominic Cummings calls for 'weirdos and misfits' for No 10 jobs Dominic Cummings, Boris Johnson’s chief adviser, has written a rambling blog calling for “weirdos and misfits with odd skills” to apply for new jobs w …",Politics
60,"More women than ever working in film – but men still dominate key roles The number of women working in the film industry reached a historic high in 2019, but men still outnumber women four to one in key roles. Women made u …",Film
61,"Black people in California are stopped far more often by police, major study proves Black people in California were stopped by police officers much more frequently than other racial groups in 2018, and police were more likely to use f …",US-News
62,"Break the cycle: how to stop having the same argument again and again and again If you have been in a relationship for a year or more, you will know exactly what “that argument” is. It is the one that keeps going round and round, …",Life-and-Style
63,"Refusing Scottish help a 'grave error' in blood scandal, letter says Hundreds of people with haemophilia in England and Wales could have avoided infection from HIV and hepatitis if officials had accepted help from Scotl …",UK-News
64,"Climate crisis fuels year of record temperatures in UK, says Met Office A series of high temperature records were broken in the UK in 2019 as a consequence of the climate crisis, the Met Office has said. The hottest temper …",UK-News
65,"The old ones are the best: how to rekindle a lost friendship I have some wonderful old friends whom I love and whose friendship I treasure. The problem is, I never see them. My old friends have become ghost frie …",Life-and-Style
66,"'I was half-insane with anxiety': how I wrote myself into a breakdown Last summer, in the midst of promotional chaos surrounding my new novel The Offing, I cancelled my own London book launch and instead drove to the Cha …",Books
67,"Let’s resurrect phone calls. Texting ‘hahaha’ is no match for hearing a friend laugh Everybody has a mobile phone. Or at least more than five billion of us do. And yet nobody makes phone calls any more. In fact, the under-30s have been …",Life-and-Style
68,"Australia v New Zealand: third Test, day one – as it happened Here is the report of day one at the SCG. New Zealand’s disastrous tour plumbed new depths on the opening day of the Sydney Test. The visitors made fi …",Sport
69,How the Brain Lost Its Mind review – beyond hysteria The history of medicine abounds with oddball characters and bizarre events. Yet few figures are quite as eccentric as the French neurologist Jean-Mart …,Books
70,'Do something weird that works on TikTok': how to write a pop smash in 2020 Landing a No 1 single was a little different at the beginning of the 2010s than it is now. The songwriting and production team TMS – who have achieved …,Music
71,"Golden Globes 2020: stars prepare for the return of Ricky Gervais Stars such as Jennifer Aniston, Jennifer Lopez and Adam Driver will be battling it out for Golden Globes this weekend as the year’s first awards show …",Film
72,"‘Bring me home’: Ayia Napa teenager asks Boris Johnson to help A British teenager found guilty of lying about being gang-raped in Cyprus has pleaded with Boris Johnson to “bring me home”. The teenager, who cannot …",UK-News
73,"Nietzsche and the Burbs review – deadpan philosophical comedy Lars Iyer’s follow-up to the celebrated Wittgenstein Jr is another attempt to treat his erstwhile academic specialism, European philosophy, as the bas …",Books
74,"Bury firefighters work through night to tackle huge scrapyard blaze Firefighters worked through the night to tackle a huge blaze in a scrapyard in Bury, Greater Manchester. On Friday morning residents were advised to s …",UK-News
75,Talking Horses: Gay Kelleway claims trainers are running lame horses Gay Kelleway has made a strongly worded call for more pre-race checks of racehorses and accused some of her colleagues of sending horses to the track …,Sport
76,"Fix up, look sharp: how to mend more and buy less An industrious weaver called Krysta Relyea recently wrote a post on Instagram saying she had just realised she owned enough pairs of jeans to get her …",Life-and-Style
77,"My life in sex: ‘My desire for an erection became greater than my fear of needles’ We gave ourselves the unaccustomed luxury of several hours of afternoon lovemaking, knowing this might be our last time. This knowledge intensified ou …",Life-and-Style
78,"Experience: I opened an envelope filled with anthrax I started an apprenticeship on NBC Nightly News in July 2001. At that time, the programme was hosted by Tom Brokaw, a veteran newscaster and household …",Life-and-Style
79,"'Maybe I'm taking things too far': Trey Edward Shults on mining his family's trauma In 2013, the director Trey Edward Shults got a call from a hospital in Missouri; his father was dying of pancreatic cancer. They hadn’t spoken in a de …",Film
80,Klobuchar took money from prosecutor condemned over Central Park Five case Amy Klobuchar accepted a financial donation last year from a former prosecutor who has faced intense public condemnation for her handling of the Centr …,US-News
81,"Tracks of the week reviewed: Raye, Usher, Lil Uzi Vert Raye Please Don’t Touch You heard it here first: London pop star Rachel Keen, AKA Raye, is the artist most likely to “do a Dua” in 2020 and make the l …",Music
82,Three energy firms to pay £10.5m for failings over August blackout Three energy companies will pay a combined £10.5m for failing to prevent a power cut after a lightning strike last summer that left more than 1 millio …,Business
83,Private jet firm says it was duped over Carlos Ghosn escape A Turkish private jet company has claimed it was duped into hiring the aircraft used to help the fugitive automotive boss Carlos Ghosn make a daring e …,Business
84,"Lost in muzak: how ambient became cool When Wire, a nightclub in Leeds city centre, recently announced its first residency, it came with a calm-inducing addition: ambient listening sessions …",Music
85,"Sandown will toast absent friends in honour of Houblon Des Obeaux “Absent friends” must be the toast at Sandown on Saturday, where a big effort will be made to memorialise Houblon Des Obeaux, one of the gamest of ste …",Sport
86,"Ricky Gervais isn't the Golden Globes host we want – but the one we deserve Ricky Gervais should not host the Golden Globes this year. He has said as much himself, again and again and again. The first time he was apparently go …",Film
87,"The Living Days by Ananda Devi review – a tale of exploitation First published in France in 2013, The Living Days is the 12th novel by the Mauritian author Ananda Devi. Set in London, it tells of the sexual abuse …",Books
88,"Grant Shapps faces calls to set out strategy for future of Northern rail The transport secretary is facing calls to set out his plans for the future of Northern rail, after suggesting he could strip the train operator of it …",UK-News
89,Man in court over murder of estranged wife and new partner A former headteacher has appeared in court charged with murdering his estranged wife and her new partner in the early hours of New Year’s Day. Rhys Ha …,UK-News
90,"Time to tidy up! What to clean if you have a spare 3 minutes, 5 minutes – or 8 hours So, you want a tidy house, but feel too busy? Even the smallest pocket of time can be made to count in the battle for a calm living space. We spoke to …",Life-and-Style
91,"Chess: Carlsen wins speed titles after controversial game with rising star Magnus Carlsen ended his vintage year of 2019 as he began it, as a superb all-round player who outclasses his rivals. Carlsen won at Wijk in January l …",Sport
92,"Why Iain Duncan Smith knighthood was ‘slap in the face’ The new year honours list is a reliable source of controversy, with perennial outrage about the worthiness of the recipients. But the knighthood given …",Politics
93,"Why the Dallas Cowboys opening is the best coaching job on the market Jason Garrett is finally, mercifully out as the Dallas Cowboys head coach. Make no mistake, this is a lifetime achievement award, not a reaction to th …",Sport
94,"My new year resolution is to do a whole lot less for once TS Eliot described April as the cruellest month, but he obviously never did dry January. I can’t bear this time of year: 31 dark days of self-denial, …",Life-and-Style
95,"Architecture in Global Socialism by Łukasz Stanek review – a book that rewrites the cold war If you rummage through boxes of postcards in Polish secondhand shops, they reveal an unexpected geography – places few Poles would now go. They’re not …",Books
96,"Golden Globes: who will win and who should win the film awards? Best film (drama) The best film category is dominated – just like everything else in the cultural conversation around movies – by Netflix, which has t …",Film
97,"Dominic Cummings' call for No 10 staff may break employment law A rambling blogpost by Boris Johnson’s chief adviser, Dominic Cummings, calling for “weirdos and misfits with odd skills” to apply for jobs within No …",Politics
98,"Ethical veganism is a belief protected by law, tribunal rules An employment tribunal has ruled that ethical veganism is a philosophical belief that is protected by law against discrimination. The ruling came in a …",Life-and-Style
99,"Credit card repayments exceed borrowing for first time since 2013 - as it happened Traders woke up to news that US air strikes killed a top Iranian general, raising fresh fears of conflict between Washington and Tehran The news cause …",Business
100,"Before meeting my girlfriend, I saw escorts. How do I get over my past? I’m a 31-year-old man in a committed relationship of two years. I had a rather strained and difficult childhood, and experienced a lot of problems wit …",Life-and-Style
101,"What drives the ‘moral grandstanding’ that has infected our politics? At last, there’s an official label for that thing everyone’s doing these days, and which makes so many forms of public conversation (and some private …",Life-and-Style
102,"US failing to give UK warning of military strikes, says senior MP The UK was not informed in advance of the US airstrike that killed Iran’s top general, it has been claimed, as the British government scrambled to pro …",Politics
103,"Mystery of Rolling Stones tracks posted briefly on YouTube A mysterious YouTube account that posted, then hid, a collection of 75 rare and unpublished Rolling Stones recordings may have been a canny attempt to …",Music
104,Ollie Pope delivers solitary shaft of light for sorry England in second Test Here is a tale of missed opportunities which heightens the eerie feeling that England are now embarked on a nightmarish tour of Ashes proportions. Thi …,Sport
105,Cricket may seem insignificant while Australia burns but it shines some light Edgar Allan Poe wrote a brilliantly sinister short story about a man who wakes up in the night and sees a shadow against the curtains that looks just …,Sport
106,England need to be honest: Joe Root’s captaincy is just not working out You had to commend Joe Root’s honesty when he walked after gloving behind a short ball from Anrich Nortje on the opening day of this second Test again …,Sport
107,"Andrew Miller obituary Andrew Miller, the former Labour MP, who has died aged 70, was partly responsible for one of the most far-reaching pieces of employment legislation to …",Politics
108,"Fresno mass shooting: police arrest six suspects in deadly November attack Police in Fresno, California, have arrested seven suspects in a mass shooting that left four dead in November, alleging gunmen targeted a backyard whe …",US-News
109,Yorkshire and Clydesdale banks hit by IT failure Customers of Clydesdale and Yorkshire banks have become the latest customers to fall victim to an IT failure after wages and other payments failed to …,Business
110,"Trump's order to kill Iran's top general is his biggest gamble yet The only predictable thing about Donald Trump is his unpredictability. Two days into the month of an impeachment trial and an election year, he gave t …",US-News
111,'We’ll find something else': Pope says England have accepted football ban Ollie Pope says England’s players have accepted the ban on football after the opener Rory Burns was ruled out of the rest of the series against South …,Sport
112,Former Fox News reporter says Trump invited her to his office 'so we can kiss' A former Fox News reporter has added her name to the list of nearly two dozen women who have accused Donald Trump of making unwanted sexual advances t …,US-News
113,"Jess Phillips confirms she will stand for Labour leadership Jess Phillips has announced she will stand as a candidate in the Labour leadership contest. The Birmingham Yardley MP joins Emily Thornberry, Clive Le …",Politics
114,"Lisa Nandy enters Labour leadership race with call for change The Wigan MP Lisa Nandy has announced she will enter the Labour leadership race, with a stark warning to party members that “unless we change course, …",Politics
115,"Portrait of the Queen and three future kings released The Queen strikes a familiar pose with handbag firmly looped on forearm in a new portrait alongside three future kings, released to mark the start of …",UK-News
116,"Talking Horses: saddle up for Sandown reward with Wild West Wind The Veterans Chase series is made for horses like Wild West Wind (3.00), who was never the fastest and had a fallow period in mid-career but has now, …",Sport
117,"Mike Pence pushes 9/11 conspiracy theories to justify Suleimani killing In defense of his administration’s decision to assassinate Qassem Suleimani, Mike Pence has been promoting conspiracy theories that link September 11 …",US-News
118,"The most exciting movies of 2020 – foreign language The Whistlers A bent detective becomes entangled in the crimes he’s investigating in Corneliu Porumboiu’s nifty, twisty drama. This one premiered at C …",Film
119,‘When I became a mother I realised how hard it is’: how the parenting experts parent The clinical psychologist: ‘In a family you need a buffer zone for defusing difficult situations’ Dr Cathy Burges works with child and adolescent ment …,Life-and-Style
120,"My wife has accidentally filled the garden with vermin My oldest son and I are sitting at the kitchen table when my wife walks in, looks out of the window and sighs. It is the middle of a long, dark aftern …",Life-and-Style
121,"Blind date: ‘For some reason I said yes to every alcoholic drink’ Gavin on Rob What were you hoping for? The love of my life. Failing that, good food and good company. First impressions? An impressive beard. What did …",Life-and-Style
122,"The Death of Jesus by JM Coetzee review – a boy who challenges the world Martin Amis once complained that JM Coetzee had “got no talent”, showing perhaps that obsessive ranking of talent (here used in a far more debased sen …",Books
123,"Forget Cats: in a close-run field, Marriage Story was the musical highlight of my holiday So, apparently there was lots of good TV on over the holiday break. Some book adaptations, perhaps? Maybe a sexed-up period drama? Alas, I missed it a …",Film
124,"Braised Pork by An Yu review – a startlingly original debut Weird things keep happening in An Yu’s debut novel, Braised Pork. First, a Beijing businessman drowns in a bathtub. Later, a fish tank goes up in flam …",Books
125,"50 easy hacks to change your life in 2020 Environment Use your voice The number one thing that people can do, says Libby Peake, senior policy adviser at the Green Alliance, “is to press your r …",Life-and-Style
126,"Humiliation by Paulina Flores review – empathetic short stories In this impressive debut, nimbly translated by Megan McDowell, Flores explores the indignities of poverty, widespread in her native Chile. In the priz …",Books
127,"Gardening tips: sow sweet peas Plant this Witch hazels are one of the earliest things to flower every year, their scented, spidery flowers in citrus shades unfurling to lure you int …",Life-and-Style
128,"What to do with your Christmas tree Is your Christmas tree looking a little sad? One might imagine it is by now, for the ghost has truly flown, and left a flurry of needles on your floor …",Life-and-Style
129,‘I end up eating quinoa in my pants at 11pm’: my year of living (a bit more) healthily It has long been a source of amusement to my friends that I have maintained such a hefty bulk despite my veganism. It is true: I have taken being vega …,Life-and-Style
130,Hunt: US confrontation with Iran is 'dangerous game of chicken' Jeremy Hunt has called the US’s escalating confrontation with Iran over the assassination of Tehran’s top general an “incredibly dangerous game of chi …,Politics
131,"Sportwatch: Sydney and Phoenix win again, Stars stroll BBL derby – as it happened And that’s where we’ll leave Sportwatch. A night of close, but no cigar across many codes. The Central Coast traveled to Wellington looking to snap a …",Sport
132,"Greggs, guilt and glucose: what I've learned from a life of dieting 1 We want to be thin but we lie about it Since I’ve been a journalist, I’ve done a ton of diets for one article or another. I never had to justify it, …",Life-and-Style
133,"Fiddlerontheroof wins Tolworth Hurdle in first Grade One jumps race of 2020 “The novice hurdlers are our future,” Joe Tizzard said after the Tolworth Hurdle here on Saturday and quite a future it promises to be. Fiddleronthero …",Sport
134,"The Gentlemen review – Guy Ritchie’s dated gangster romp Guy Ritchie’s latest gangster comedy presents itself as a harmless romp, but behind its wink-wink-nudge-nudge humour is a bitter and dated worldview. …",Film
135,"Vigdis Hjorth: ‘I won’t talk about my family… I’m in enough trouble’ “Most families have a kind of official family story,” Vigdis Hjorth says. “‘This is how we do Christmas’, and so on. If one member does not share this …",Books
136,White romance novelist in racism row says she was used A white romance novelist’s ethics complaint against the author Courtney Milan for calling her book a “racist mess” led to the censure of Milan and spa …,Books
137,Nadal and Djokovic star as Spain and Serbia make winning starts at ATP Cup It has been six weeks since Rafael Nadal dragged Spain through eight singles and doubles wins in five days to Davis Cup victory in Madrid. Such a tran …,Sport
138,Man in hospital after ingesting substance thought to be ricin A man has been taken to hospital in Greater Manchester after reportedly swallowing a poisonous substance believed to be ricin. Police cordoned off Moo …,UK-News
139,"Carlos Ghosn: an arrest, an escape, and questions about justice in Japan Carlos Ghosn’s dramatic escape from Japan to Lebanon last week has raised many questions over how he pulled off such an audacious act, but his motives …",Business
140,"South Africa 215-8 against England: second Test, day two – as it happened Nasser: “England were absolutely superb all day, well led by Joe Root. It’s not a minefield of a pitch but Broad and Anderson got the game by the scru …",Sport
141,"Renault alliance struggles to cope with gaping hole left by Carlos Ghosn Even before Carlos Ghosn jumped bail in the manner of a Hollywood thriller, the former executive had secured his place in automotive history. Before h …",Business
142,Fresh Cambridge Analytica leak ‘shows global manipulation is out of control’ An explosive leak of tens of thousands of documents from the defunct data firm Cambridge Analytica is set to expose the inner workings of the company …,UK-News
143,"Glorious Gloucester storm back for bonus-point win over Bath Crowds here for years were treated to bruising encounters usually decided by uncompromising home forwards and the boot of an accurate goal-kicker, but …",Sport
144,"Book clinic: what are the best titles to help us through tough times? Q: Can you recommend books to help us through tough times – books about how to persevere under difficult circumstances? Angela Robertson, 50, Edinburg …",Books
145,"Joseph O’Connor: ‘A prize nomination brings out your inner Gollum’ Irish novelist Joseph O’Connor is the author of 18 books, including the bestselling Star of the Sea. His most recent, Shadowplay, won novel of the yea …",Books
146,"Terry Gilliam faces backlash after labeling #MeToo a 'witch-hunt' The director Terry Gilliam has invited renewed backlash after repeating his claim that he is a “black lesbian in transition”, assailing the #MeToo mov …",Film
147,"I was taught that if you have a voice, you use it to help others Anyone standing for leader of the Labour party has a responsibility to speak truth, because without that we will never win power. We cannot spend the …",Politics
148,"US government agency website crashes amid panic over military draft In the aftermath of the US drone strike that killed the Iranian general Qassem Suleimani in Baghdad, the phrase “World War III” began trending on soci …",US-News
149,"Observer Sudoku Click here to access the print version. Fill the grid using the numbers 1 to 9. Each number must appear just once in every row, column and 3x3 box. Bu …",Life-and-Style
150,"Observer Killer sudoku Click here to access the print version. Normal Sudoku rules apply, except the numbers in the cells contained within grey lines add up to the figures i …",Life-and-Style
151,"From the archive: Norman Mailer meets Clint Eastwood in 1984 On 29 January 1984, Norman Mailer met Clint Eastwood for the Observer Magazine (‘Mailer Meets His Macho’) and you know what you’re going to get when t …",Life-and-Style
152,"Plan your plot for 2020: think about seeds and new beds New dawn, new day, new year. Feeling good about it. Things have turned, honestly. Though there is bound to be wind and rain, maybe snow, we will have …",Life-and-Style
153,"Go for brush, blush and a touch of shine A pared-down face is the palate cleanser we need after last month’s obligatory maquillage (over) indulgence. Start with glowing skin. Add a booster in …",Life-and-Style
154,"Obituary: Alexander Frater 1937-2020 Alexander Frater, the chief travel writer of the Observer from 1986 to 1998 and the author of highly successful travel books, including Chasing the Mo …",Books
155,"Sunday with Hans Ulrich-Obrist: ‘I go to London Zoo – mostly for the architecture’ A morning routine? A run in Kensington Gardens in London, followed by 15 minutes of reading. Then breakfast. My morning ritual is the same every day, …",Life-and-Style
156,In the Dream House by Carmen Maria Machado – review “You’re not allowed to write about this… Don’t you ever write about this. Do you fucking understand me?” So said Carmen Maria Machado’s ex-girlfriend …,Books
157,"David Muir, racing’s conscience, has his eyes on another hurdle New Year’s Eve brought the end of an era as David Muir, who has spent 21 years as racing consultant to the RSPCA, completed his final shift by oversee …",Sport
158,"Amanda review – muted Paris terror attack drama This tasteful, muted exploration of personal trauma imagines the aftermath of a fictional terrorist attack in modern-day Paris, presumably inspired by …",Film
159,"Australia v New Zealand: third Test, day three – as it happened Here’s your daily report from the SCG. Australia reasserted their authority over the third Test on day three at the SCG. Nathan Lyon was the star, spi …",Sport
160,"Rebel alliance ready to put a halt to  the ‘disneyfication’ of Edinburgh For 800 years or so the castle that keeps watch above Scotland’s capital has borne witness to the bloody rise and fall of kingdoms and nations. Now, t …",UK-News
161,"Red meat plays vital role in diets, claims expert in fightback against veganism Advocates of red meat will begin a fightback against the growth of veganism this week at the UK’s biggest farming conference, with claims that eating …",Life-and-Style
162,Helen Sharman: ‘There’s no greater beauty than seeing the Earth from up high’ Almost everything about my childhood was normal and mundane. Our nuclear family lived in a comfortable house in suburban Sheffield. I went to school a …,Life-and-Style
163,"Let’s start the year by curling up, cat like, and hibernating… Every morning at seven when we exit our bed my cat enters it, padding in a tight circle for some time before lowering herself into what appears to be …",Life-and-Style
164,"Dominic Cummings warned over civil service shake-up plan Dominic Cummings should stop denigrating senior civil servants by lumping them together as part of the same Oxbridge-educated, dinner party elite if h …",Politics
